"topic_label","originaltopic","haldtopic","topic_use","topic_majortaxon","topic_discipline","year","proportion_present","sd_proportion_present","rollmean","start_year","start_year_proportion_present","norm_year","norm_prop"
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1962,0.00804289544235925,0.00327026724016062,0.00585476088668547,1962,0.00804289544235925,0,1
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1963,0.00884955752212389,0.00332998537480919,0.00640701637893368,1962,0.00804289544235925,1,1.10029498525074
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1964,0.00929752066115703,0.0030847325939789,0.00687569992702044,1962,0.00804289544235925,2,1.15599173553719
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1965,0.010536398467433,0.00316006310481398,0.00814848727002026,1962,0.00804289544235925,3,1.31002554278417
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1966,0.0291595197255575,0.00492736627075268,0.0131771783637261,1962,0.00804289544235925,4,3.62550028587765
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1967,0.0134115674769489,0.00333033220602408,0.0142509127706441,1962,0.00804289544235925,5,1.66750488963398
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1968,0.0179597701149425,0.003559552548841,0.0160729552892078,1962,0.00804289544235925,6,2.23299808429118
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1969,0.0117724002616089,0.0027584000791268,0.0165679312092982,1962,0.00804289544235925,7,1.46370176586004
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1970,0.0153354632587859,0.00310624300004862,0.0175277441675687,1962,0.00804289544235925,8,1.90670926517571
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1971,0.011648223645894,0.0025894079452951,0.014025484951636,1962,0.00804289544235925,9,1.44826247330615
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1972,0.01455525606469,0.00278069980774599,0.0142542226691843,1962,0.00804289544235925,10,1.80970350404312
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1973,0.00996512207274539,0.0022171387513102,0.0126552930607448,1962,0.00804289544235925,11,1.23899684437801
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1974,0.0114777618364419,0.00232940396270325,0.0125963653757114,1962,0.00804289544235925,12,1.42706838833094
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1975,0.0103537532355479,0.00210248148606837,0.0116000233710638,1962,0.00804289544235925,13,1.28731665228646
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1976,0.011301799916283,0.00216270659252031,0.0115307386251416,1962,0.00804289544235925,14,1.40519045625785
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1977,0.0114517916512745,0.00204499154993953,0.0109100457424585,1962,0.00804289544235925,15,1.4238394286418
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1978,0.00897988505747126,0.00178789499311424,0.0107129983394037,1962,0.00804289544235925,16,1.11649904214559
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1979,0.00846078750406769,0.00165226255536588,0.0101096034729289,1962,0.00804289544235925,17,1.05195791300575
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1980,0.0155875299760192,0.00214468830258562,0.0111563588210231,1962,0.00804289544235925,18,1.93804956035172
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1981,0.00714285714285714,0.00139581760815859,0.010324570266338,1962,0.00804289544235925,19,0.888095238095238
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1982,0.00700431034482759,0.00136883905605231,0.00943507400504858,1962,0.00804289544235925,20,0.870869252873564
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1983,0.00566280566280566,0.00120389097780612,0.00877165812611546,1962,0.00804289544235925,21,0.704075504075504
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1984,0.00793269230769231,0.0013754164317339,0.00866603908684038,1962,0.00804289544235925,22,0.986298076923077
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1985,0.00562809545249887,0.00112244707525897,0.00667415218213631,1962,0.00804289544235925,23,0.699759867927359
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1986,0.010217681030653,0.00149879857298246,0.00728911695969549,1962,0.00804289544235925,24,1.27039834147786
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1987,0.00595871462013194,0.00112273117465026,0.00707999781475636,1962,0.00804289544235925,25,0.740866851103071
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1988,0.00905908997323451,0.00135950908418735,0.00775925467684213,1962,0.00804289544235925,26,1.12634685333882
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1989,0.008058017727639,0.00126894079170962,0.00778431976083146,1962,0.00804289544235925,27,1.00188020413645
"agricultural pest control","topic99","topic41",1,"animal","conservation & management biology",1990,0.00978629918114639,0.00139118508889526,0.00861596050656097,1962,0.00804289544235925,28,1.2167631981892
