haldtopic,year,N_present,N_not_present,N,alpha,beta,mean_from_alphabeta,sd_from_alphabeta,proportion_present,sd_proportion_present,originaltopic,topic_order,topic_use,topic_discipline,topic_majortaxon,topic_label
topic1,1809,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1812,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1815,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1830,0,3,3,1,4,0.2,0.163299316,0,0,topic59,1,1,NA,animal,amphibians
topic1,1833,0,3,3,1,4,0.2,0.163299316,0,0,topic59,1,1,NA,animal,amphibians
topic1,1834,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1836,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1837,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1838,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1839,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1840,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1843,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1844,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1845,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1850,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1852,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1854,0,7,7,1,8,0.111111111,0.099380799,0,0,topic59,1,1,NA,animal,amphibians
topic1,1856,0,3,3,1,4,0.2,0.163299316,0,0,topic59,1,1,NA,animal,amphibians
topic1,1857,0,7,7,1,8,0.111111111,0.099380799,0,0,topic59,1,1,NA,animal,amphibians
topic1,1858,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1859,0,3,3,1,4,0.2,0.163299316,0,0,topic59,1,1,NA,animal,amphibians
topic1,1860,0,5,5,1,6,0.142857143,0.123717915,0,0,topic59,1,1,NA,animal,amphibians
topic1,1861,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1862,0,5,5,1,6,0.142857143,0.123717915,0,0,topic59,1,1,NA,animal,amphibians
topic1,1863,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1864,0,1,1,1,2,0.333333333,0.23570226,0,0,topic59,1,1,NA,animal,amphibians
topic1,1865,0,3,3,1,4,0.2,0.163299316,0,0,topic59,1,1,NA,animal,amphibians
topic1,1866,0,2,2,1,3,0.25,0.193649167,0,0,topic59,1,1,NA,animal,amphibians
topic1,1867,0,37,37,1,38,0.025641026,0.02499178,0,0,topic59,1,1,NA,animal,amphibians
topic1,1868,0,55,55,1,56,0.01754386,0.017238726,0,0,topic59,1,1,NA,animal,amphibians
topic1,1869,0,67,67,1,68,0.014492754,0.014284214,0,0,topic59,1,1,NA,animal,amphibians
topic1,1870,0,49,49,1,50,0.019607843,0.019227072,0,0,topic59,1,1,NA,animal,amphibians
topic1,1871,2,58,60,3,59,0.048387097,0.027034894,0.033333333,0.02317406,topic59,1,1,NA,animal,amphibians
topic1,1872,0,44,44,1,45,0.02173913,0.021271568,0,0,topic59,1,1,NA,animal,amphibians
topic1,1873,0,55,55,1,56,0.01754386,0.017238726,0,0,topic59,1,1,NA,animal,amphibians
topic1,1874,0,60,60,1,61,0.016129032,0.015870951,0,0,topic59,1,1,NA,animal,amphibians
topic1,1875,2,39,41,3,40,0.069767442,0.038405713,0.048780488,0.033641203,topic59,1,1,NA,animal,amphibians
topic1,1876,1,48,49,2,49,0.039215686,0.026917901,0.020408163,0.020198843,topic59,1,1,NA,animal,amphibians
topic1,1877,0,51,51,1,52,0.018867925,0.018515222,0,0,topic59,1,1,NA,animal,amphibians
topic1,1878,0,58,58,1,59,0.016666667,0.016391166,0,0,topic59,1,1,NA,animal,amphibians
topic1,1879,0,54,54,1,55,0.017857143,0.017541062,0,0,topic59,1,1,NA,animal,amphibians
topic1,1880,0,56,56,1,57,0.017241379,0.016946633,0,0,topic59,1,1,NA,animal,amphibians
topic1,1881,0,58,58,1,59,0.016666667,0.016391166,0,0,topic59,1,1,NA,animal,amphibians
topic1,1882,0,57,57,1,58,0.016949153,0.016664273,0,0,topic59,1,1,NA,animal,amphibians
topic1,1883,1,78,79,2,79,0.024691358,0.017137071,0.012658228,0.012577857,topic59,1,1,NA,animal,amphibians
topic1,1884,0,71,71,1,72,0.01369863,0.013512246,0,0,topic59,1,1,NA,animal,amphibians
topic1,1885,0,62,62,1,63,0.015625,0.015382737,0,0,topic59,1,1,NA,animal,amphibians
topic1,1886,1,65,66,2,66,0.029411765,0.02034012,0.015151515,0.015036293,topic59,1,1,NA,animal,amphibians
topic1,1887,1,71,72,2,72,0.027027027,0.018724874,0.013888889,0.013792101,topic59,1,1,NA,animal,amphibians
topic1,1888,0,85,85,1,86,0.011494253,0.011362886,0,0,topic59,1,1,NA,animal,amphibians
topic1,1889,0,70,70,1,71,0.013888889,0.013697309,0,0,topic59,1,1,NA,animal,amphibians
topic1,1890,0,74,74,1,75,0.013157895,0.012985889,0,0,topic59,1,1,NA,animal,amphibians
topic1,1891,0,66,66,1,67,0.014705882,0.014491186,0,0,topic59,1,1,NA,animal,amphibians
topic1,1892,0,67,67,1,68,0.014492754,0.014284214,0,0,topic59,1,1,NA,animal,amphibians
topic1,1893,0,101,101,1,102,0.009708738,0.009614931,0,0,topic59,1,1,NA,animal,amphibians
topic1,1894,0,60,60,1,61,0.016129032,0.015870951,0,0,topic59,1,1,NA,animal,amphibians
topic1,1895,0,96,96,1,97,0.010204082,0.010100484,0,0,topic59,1,1,NA,animal,amphibians
topic1,1896,0,105,105,1,106,0.009345794,0.009258855,0,0,topic59,1,1,NA,animal,amphibians
topic1,1897,1,89,90,2,90,0.02173913,0.015121921,0.011111111,0.01104921,topic59,1,1,NA,animal,amphibians
topic1,1898,1,112,113,2,113,0.017391304,0.012137448,0.008849558,0.008810313,topic59,1,1,NA,animal,amphibians
